"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","input_shape","learning_rate","neurons_FC1","neurons_FC2","num_classes","optimizer","optimizer_type","epoch","global_step","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"laced-sweep-20","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:28:50.000Z","186","8p1anj8o","[3,32,32]","0.006312947433451437","624","132","10","sgd","sgd","5","7035","0.16779999434947968","2.299128293991089","0.1248222216963768","0.15625","2.3006927967071533","2.2989251613616943","7035","0.16140000522136688","2.2991976737976074"
"rich-sweep-19","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:25:38.000Z","187","8p1anj8o","[3,32,32]","0.009880778504248646","681","271","10","sgd","sgd","5","7035","0.29899999499320984","1.9299068450927737","0.31288889050483704","0.5","1.8905092477798464","1.7043029069900513","7035","0.29980000853538513","1.94437575340271"
"firm-sweep-18","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:22:35.000Z","182","8p1anj8o","[3,32,32]","0.009097676043741686","495","188","10","sgd","sgd","5","7035","0.2312999963760376","1.980276346206665","0.22075556218624115","0.1875","2.1093528270721436","2.282399892807007","7035","0.23260000348091123","1.9897381067276"
"visionary-sweep-17","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:19:29.000Z","181","8p1anj8o","[3,32,32]","0.009702535726335277","607","280","10","sgd","sgd","5","7035","0.23999999463558197","2.0193169116973877","0.22368888556957245","0.34375","2.119298934936523","1.8844208717346191","7035","0.23659999668598175","2.0450074672698975"
"wild-sweep-16","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:16:26.000Z","177","8p1anj8o","[3,32,32]","0.005370476157816812","412","101","10","sgd","sgd","5","7035","0.13500000536441803","2.301707983016968","0.11275555193424223","0.15625","2.3020124435424805","2.3017003536224365","7035","0.12759999930858612","2.3019585609436035"
"crimson-sweep-15","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:13:17.000Z","184","8p1anj8o","[3,32,32]","0.0021781935989577477","143","198","10","adam","adam","5","7035","0.6568999886512756","1.0058984756469729","0.669688880443573","0.625","0.9418229460716248","0.9988746643066406","7035","0.6646000146865845","0.9653751254081726"
"noble-sweep-14","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:09:55.000Z","200","8p1anj8o","[3,32,32]","0.0070154129297434155","790","427","10","adam","adam","5","7035","0.10000000149011612","2.30411434173584","0.10057777911424635","0.125","2.3032984733581543","2.3109960556030273","7035","0.10119999945163728","2.30496883392334"
"wise-sweep-13","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:06:44.000Z","189","8p1anj8o","[3,32,32]","0.0060263031441540466","332","143","10","sgd","sgd","5","7035","0.14139999449253082","2.3016135692596436","0.11344444751739502","0.1875","2.3019649982452393","2.30281662940979","7035","0.14059999585151672","2.301841735839844"
"laced-sweep-12","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:03:38.000Z","180","8p1anj8o","[3,32,32]","0.00484203400832214","115","291","10","adam","adam","5","7035","0.5081999897956848","1.3812780380249023","0.5097110867500305","0.34375","1.367433786392212","1.6358416080474854","7035","0.5009999871253967","1.389146089553833"
"lunar-sweep-11","iyrpamcm","finished","-","acuadrosrivas","","2023-10-24T08:00:36.000Z","179","8p1anj8o","[3,32,32]","0.00635272960835213","194","497","10","sgd","sgd","5","7035","0.13230000436306","2.3008196353912354","0.1078222244977951","0.125","2.3015129566192627","2.3008618354797363","7035","0.12780000269412994","2.3008954524993896"
